,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
엔에스쇼핑,353,138250,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=138250,"10,000","4,980","1,317","1,434",287,15,154,-75,-53,104,"9,208","9,208","9,944","4,943","4,943","5,632","4,265","4,265","4,313",5.77,1.13,10.73,-1.51,-4.00,7.28,-1.76,-1.76,-1.43,-0.87,-0.87,-0.68,115.90,115.90,130.58,-226,-156,312,N/A,N/A,N/A,"12,843","12,843","12,990",0.74,0.74,0.47,1.59,,,-65.03,-94.29,
송원산업,355,004430,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=004430,"14,050","8,143","1,971","2,105",593,82,181,350,61,112,"8,943","8,943","9,299","4,587","4,587","4,823","4,356","4,356","4,475",7.28,4.17,8.58,4.30,3.10,5.31,8.24,8.24,8.62,3.96,3.96,4.05,105.32,105.32,107.77,"1,448",247,459,10.74,10.74,5.92,"17,983","17,983","18,466",0.86,0.86,0.49,0.96,,,10.36,60.81,
JW생명과학,356,234080,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=234080,"21,150","1,702",446,463,297,71,92,219,51,69,"2,014","2,014","2,029",788,788,812,"1,226","1,226","1,216",17.48,15.89,19.94,12.89,11.50,15.00,18.92,18.92,20.11,10.91,10.91,11.15,64.26,64.26,66.76,"1,385",324,438,14.29,14.29,9.84,"7,744","7,744","7,682",2.56,2.56,1.86,2.53,,,36.09,154.42,0.00
한국쉘석유,357,002960,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002960,"260,000","2,118",526,530,257,51,81,210,44,68,"1,411","1,411","1,454",432,432,615,979,979,839,12.12,9.77,15.36,9.93,8.45,12.77,21.30,21.30,27.40,14.72,14.72,15.82,44.11,44.11,73.35,"16,174","3,420","5,211",19.97,19.97,14.03,"75,323","75,323","64,533",4.29,4.29,3.81,4.95,,,98.92,467.82,
삼성SDI우,358,006405,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006405,"383,500","100,974","28,209","23,975","4,622",201,540,"4,024",-331,7,"198,521","198,521","198,869","71,918","71,918","74,226","126,603","126,603","124,643",4.58,0.71,2.25,3.98,-1.17,0.03,2.94,2.94,2.46,2.05,2.05,1.75,56.81,56.81,59.55,"5,066",-718,-136,46.59,46.59,57.04,"184,305","184,305","181,084",1.28,1.28,1.33,0.42,,,18.78,-132.46,
유진투자증권,359,001200,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001200,"3,545","9,767","2,297","5,131",582,82,280,413,49,173,"77,384","77,384","97,990","69,488","69,488","90,035","7,896","7,896","7,956",5.96,3.57,5.46,4.23,2.12,3.37,5.36,5.36,5.82,0.55,0.55,0.51,880.08,880.08,"1,131.70",427,50,178,5.37,5.37,3.86,"8,153","8,153","8,375",0.28,0.28,0.21,3.06,,,16.40,139.10,0.00
한화손해보험,360,000370,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000370,"2,685","80,276","20,560","21,191",-941,"-1,102",356,-691,-836,282,"182,572","182,572","188,704","167,928","167,928","170,988","14,643","14,643","17,716",-1.17,-5.36,1.68,-0.86,-4.06,1.33,-4.87,-4.67,-2.94,-0.40,-0.40,-0.29,"1,146.81","1,146.81",965.13,-567,-699,256,N/A,N/A,N/A,"12,154","12,154","14,801",0.23,0.23,0.11,,,,,,0.00
잇츠한불,361,226320,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=226320,"15,150","2,045",515,372,109,36,28,74,0,29,"5,394","5,394","5,416",637,637,678,"4,757","4,757","4,738",5.35,7.07,7.51,3.64,0.09,7.78,-1.11,-1.11,-1.07,1.38,1.38,1.43,13.39,13.39,14.31,-215,-158,-13,N/A,N/A,N/A,"23,388","23,388","23,304",0.83,0.83,0.46,0.52,,,-37.33,-50.90,
신영증권우,362,001725,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001725,"45,500","16,623","4,095","2,257","1,033",60,466,780,35,385,"98,151","96,872","94,267","86,442","84,971","81,980","11,709","11,901","12,287",6.21,1.46,20.63,4.69,0.86,17.05,6.53,4.35,7.52,0.80,0.55,0.97,738.27,713.98,667.22,"4,510",208,"2,333",12.75,18.24,10.21,"129,441","131,696","137,794",0.44,0.42,0.39,4.78,,,33.35,0.00,0.00
SBS,363,034120,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034120,"17,650","8,177","2,436","1,765",126,325,-62,209,67,-155,"12,478","12,478","11,605","6,006","6,006","5,361","6,471","6,471","6,244",1.54,13.35,-3.50,2.56,2.76,-8.77,3.45,3.45,1.63,1.90,1.90,0.95,92.82,92.82,85.87,"1,079",468,-899,19.27,19.27,33.75,"32,810","32,810","31,825",0.63,0.63,0.53,0.72,,,13.47,31.04,
