,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
삼성전자,1,005930,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005930,"55,500","2,304,009","598,848","553,252","277,685","71,603","64,473","217,389","52,270","48,849","3,525,645","3,525,645","3,574,575","896,841","896,841","910,698","2,628,804","2,628,804","2,663,877",12.05,11.96,11.65,9.44,8.73,8.83,8.69,8.69,8.45,6.28,6.28,6.14,34.12,34.12,34.19,"3,166",770,720,17.63,17.63,15.24,"37,528","37,528","38,053",1.49,1.49,1.25,2.54,,,44.73,46.01,49.18
SK하이닉스,2,000660,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000660,"89,800","269,907","69,271","71,989","27,127","2,360","8,003","20,164","-1,182","6,490","647,895","647,895","671,428","168,463","168,463","188,951","479,432","479,432","482,477",10.05,3.41,11.12,7.47,-1.71,9.02,4.25,4.25,3.27,3.14,3.14,2.36,35.14,35.14,39.16,"2,766",-162,890,34.03,34.03,38.91,"70,071","70,071","70,513",1.34,1.34,1.18,1.06,,,33.97,-578.71,
삼성바이오로직스,3,207940,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=207940,"676,000","7,016","3,133","2,072",917,"1,070",626,"2,029","2,106",367,"59,116","59,116","59,450","15,572","15,572","15,534","43,545","43,545","43,916",13.08,34.14,30.20,28.92,67.22,17.69,4.77,4.77,,3.41,3.41,,35.76,35.76,35.37,"3,067","3,183",554,141.20,141.20,,"65,812","65,812","66,373",6.58,6.58,7.26,,,,0.00,0.00,
NAVER,4,035420,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035420,"237,500","65,934","17,874","17,321","7,101","1,734","2,215","3,968","1,962","1,349","122,995","122,995","137,660","57,956","57,956","63,108","65,039","65,039","74,552",10.77,9.70,12.79,6.02,10.98,7.79,10.56,10.56,10.71,3.58,3.58,3.60,89.11,89.11,84.65,"3,538","1,509","1,123",52.72,52.72,43.89,"39,913","39,913","45,682",4.67,4.67,3.72,0.20,,,9.38,21.99,
삼성전자우,5,005935,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005935,"55,500","2,304,009","598,848","553,252","277,685","71,603","64,473","217,389","52,270","48,849","3,525,645","3,525,645","3,574,575","896,841","896,841","910,698","2,628,804","2,628,804","2,663,877",12.05,11.96,11.65,9.44,8.73,8.83,8.69,8.69,8.45,6.28,6.28,6.14,34.12,34.12,34.19,"3,166",770,720,17.63,17.63,15.24,"37,528","37,528","38,053",1.49,1.49,1.25,2.54,,,44.73,46.01,49.18
셀트리온,6,068270,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=068270,"263,500","11,285","3,827","3,728","3,781","1,142","1,202","2,980",951,"1,053","38,937","38,937","41,240","9,867","9,867","11,194","29,070","29,070","30,046",33.50,29.84,32.25,26.41,24.84,28.24,11.19,11.19,12.47,8.02,8.02,8.92,33.94,33.94,37.26,"2,211",705,779,81.86,81.86,91.09,"20,920","20,920","21,666",8.65,8.65,10.57,0.00,,,0.00,0.00,0.00
LG화학,7,051910,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051910,"432,500","286,250","74,612","71,157","8,956",-275,"2,365","3,761",-568,363,"340,244","340,244","371,211","166,406","166,406","197,050","173,838","173,838","174,161",3.13,-0.37,3.32,1.31,-0.76,0.51,1.84,1.84,0.83,1.20,1.20,0.59,95.73,95.73,113.14,"4,003",-993,269,79.31,79.31,170.60,"221,961","221,961","221,970",1.43,1.43,1.37,0.63,,,49.02,-197.53,
삼성SDI,8,006400,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006400,"383,500","100,974","28,209","23,975","4,622",201,540,"4,024",-331,7,"198,521","198,521","198,869","71,918","71,918","74,226","126,603","126,603","124,643",4.58,0.71,2.25,3.98,-1.17,0.03,2.94,2.94,2.46,2.05,2.05,1.75,56.81,56.81,59.55,"5,066",-718,-136,46.59,46.59,57.04,"184,305","184,305","181,084",1.28,1.28,1.33,0.42,,,18.78,-132.46,
현대차,9,005380,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005380,"112,000","1,057,464","278,241","253,194","36,055","11,644","8,638","31,856","7,721","5,527","1,945,122","1,945,122","1,988,508","1,181,465","1,181,465","1,229,242","763,658","763,658","759,266",3.41,4.18,3.41,3.01,2.77,2.18,4.32,4.32,3.80,1.70,1.70,1.46,154.71,154.71,161.90,"10,761","2,905","1,673",11.20,11.20,9.40,"267,549","267,549","266,807",0.45,0.45,0.33,3.32,,,35.35,98.27,
카카오,10,035720,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035720,"254,500","30,701","8,476","8,684","2,068",796,882,"-3,419","-4,419",799,"87,373","87,373","94,958","29,971","29,971","34,480","57,401","57,401","60,478",6.73,9.39,10.16,-11.14,-52.14,9.20,-5.81,-5.81,-4.73,-4.10,-4.10,-3.18,52.21,52.21,57.01,"-3,585","-4,959",894,N/A,N/A,N/A,"63,732","63,732","65,538",2.41,2.41,2.37,0.08,,,-3.46,-2.46,
LG생활건강,11,051900,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051900,"1,374,000","76,854","20,133","18,964","11,764","2,410","3,337","7,882","1,338","2,342","64,937","64,937","65,422","22,566","22,566","21,930","42,371","42,371","43,493",15.31,11.97,17.60,10.26,6.65,12.35,20.32,20.32,20.00,13.39,13.39,12.94,53.26,53.26,50.42,"43,916","7,512","13,016",28.71,28.71,25.27,"247,477","247,477","253,945",5.10,5.10,4.41,0.87,,,23.70,138.56,
삼성물산,12,028260,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=028260,"112,500","307,615","76,979","69,601","8,668","3,247","1,470","10,479","3,531","3,466","459,055","459,055","424,072","192,134","192,134","188,202","266,921","266,921","235,870",2.82,4.22,2.11,3.41,4.59,4.98,4.77,4.77,5.29,2.37,2.37,2.69,71.98,71.98,79.79,"5,489","1,744","1,685",19.77,19.77,15.26,"146,097","146,097","126,794",0.74,0.74,0.71,1.84,,,31.42,98.88,
현대모비스,13,012330,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012330,"214,500","380,488","104,037","84,230","23,593","6,344","3,609","22,943","5,821","3,488","466,061","466,061","471,140","141,964","141,964","144,876","324,096","324,096","326,264",6.20,6.10,4.29,6.03,5.59,4.14,7.28,7.28,6.79,5.12,5.12,4.72,43.80,43.80,44.41,"23,867","6,167","3,662",10.73,10.73,7.50,"345,993","345,993","348,322",0.74,0.74,0.49,1.56,,,16.37,47.69,
엔씨소프트,14,036570,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036570,"800,000","17,012","5,338","7,311","4,790","1,412","2,414","3,592",540,"1,954","33,464","33,464","35,709","8,342","8,342","9,640","25,122","25,122","26,069",28.16,26.44,33.02,21.11,10.12,26.73,14.72,14.72,19.30,11.42,11.42,13.99,33.21,33.21,36.98,"16,320","2,470","8,903",33.15,33.15,29.85,"121,275","121,275","125,855",4.46,4.46,5.18,0.96,,,30.03,198.39,
SK,15,034730,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034730,"253,500","992,646","236,098","237,261","39,499","4,947","-9,227","16,072","-7,203","-8,324","1,320,207","1,320,207","1,351,392","798,380","798,380","837,787","521,826","521,826","513,605",3.98,2.10,-3.89,1.62,-3.05,-3.51,4.31,4.31,0.40,1.28,1.28,-0.16,153.00,153.00,163.12,"10,113","-4,439","-2,643",25.91,25.91,171.11,"315,608","315,608","323,151",0.83,0.83,0.52,1.91,,,37.35,-67.17,
SK텔레콤,16,017670,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=017670,"221,000","177,437","44,106","44,504","11,100","1,625","3,020","8,619",-452,"3,068","446,116","446,116","443,221","217,881","217,881","217,726","228,235","228,235","225,495",6.26,3.68,6.79,4.86,-1.02,6.89,3.92,3.92,3.65,1.98,1.98,1.81,95.46,95.46,96.56,"11,021",-335,"3,832",21.59,21.59,17.43,"313,890","313,890","310,286",0.76,0.76,0.57,4.20,,,82.04,"-2,432.57",
POSCO,17,005490,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005490,"198,500","643,668","160,430","145,458","38,689","5,576","7,053","19,826",260,"4,347","790,587","790,587","822,607","312,640","312,640","348,463","477,947","477,947","474,144",6.01,3.48,4.85,3.08,0.16,2.99,4.18,4.18,3.38,2.52,2.52,2.02,65.41,65.41,73.49,"21,048",581,"4,535",11.24,11.24,9.43,"555,096","555,096","552,135",0.43,0.43,0.29,4.23,,,43.66,632.42,30.39
신한지주,18,055550,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=055550,"34,550","300,050","79,658","81,432","50,462","9,087","12,574","36,424","5,576","9,495","5,524,196","5,524,196","5,780,981","5,104,892","5,104,892","5,361,561","419,304","419,304","419,420",16.82,11.41,15.44,12.14,7.00,11.66,9.09,9.09,8.94,0.72,0.72,0.66,"1,217.47","1,217.47","1,278.33","7,003","1,032","1,875",6.19,6.19,4.11,"81,997","81,997","80,563",0.53,0.53,0.36,4.27,,,25.97,174.17,0.00
KB금융,19,105560,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=105560,"38,500","471,697","92,305","192,731","44,906","7,731","10,391","33,132","5,351","7,389","5,185,381","5,185,381","5,448,817","4,794,188","4,794,188","5,060,722","391,193","391,193","388,095",9.52,8.38,5.39,7.02,5.80,3.83,8.92,8.92,8.63,0.66,0.66,0.62,"1,225.53","1,225.53","1,303.99","7,923","1,280","1,754",6.01,6.01,4.51,"98,898","98,898","98,103",0.48,0.48,0.35,4.64,,,26.00,161.04,0.00
기아차,20,000270,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000270,"36,700","581,460","161,054","145,669","20,097","5,905","4,445","18,267","3,464","2,660","553,448","553,448","556,865","263,667","263,667","269,427","289,781","289,781","287,437",3.46,3.67,3.05,3.14,2.15,1.83,6.50,6.50,5.12,3.41,3.41,2.65,90.99,90.99,93.73,"4,506",854,656,9.83,9.83,7.30,"72,277","72,277","71,692",0.61,0.61,0.36,2.60,,,25.24,133.12,
삼성에스디에스,21,018260,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018260,"183,500","107,196","27,827","24,361","9,901","3,262","1,712","7,504","2,589",-303,"90,212","90,212","89,789","22,961","22,961","24,474","67,252","67,252","65,315",9.24,11.72,7.03,7.00,9.30,-1.24,11.76,11.76,9.18,8.81,8.81,6.58,34.14,34.14,37.47,"9,518","3,262",-385,20.44,20.44,20.42,"84,625","84,625","82,168",2.30,2.30,1.82,1.23,,,25.21,73.54,
한국전력,22,015760,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=015760,"22,550","591,729","149,412","150,931","-12,765","-15,872","4,306","-22,635","-13,313",536,"1,975,978","1,975,978","1,990,942","1,287,081","1,287,081","1,302,721","688,896","688,896","688,221",-2.16,-10.62,2.85,-3.82,-8.91,0.36,-3.42,-3.42,-2.25,-1.18,-1.18,-0.74,186.83,186.83,189.29,"-3,654","-2,076",36,N/A,N/A,N/A,"105,140","105,140","105,049",0.26,0.26,0.18,,,,0.00,0.00,
LG,23,003550,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003550,"72,500","65,753","16,531","15,854","10,241",-656,"6,077","11,068","-1,970","5,921","224,346","224,346","226,349","34,136","34,136","33,548","190,210","190,210","192,801",15.57,-3.97,38.33,16.83,-11.92,37.35,5.87,5.92,6.60,4.89,4.94,5.48,17.95,17.95,17.40,"6,141","-1,181","3,351",12.02,11.90,8.43,"107,111","107,111","108,653",0.69,0.69,0.54,2.98,,,35.82,-186.32,
KT&G,24,033780,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033780,"87,100","49,632","11,982","11,784","13,820","2,523","3,150","10,387","1,183","2,939","107,121","107,121","108,594","20,062","20,062","24,862","87,059","87,059","83,732",27.84,21.06,26.73,20.93,9.87,24.94,12.39,12.39,13.05,9.96,9.96,9.79,23.04,23.04,29.69,"7,549",873,"2,134",12.42,12.42,9.71,"68,341","68,341","65,705",1.37,1.37,1.14,4.69,,,53.74,464.75,
SK이노베이션,25,096770,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=096770,"125,500","498,765","115,518","111,630","12,693","1,105","-17,752",658,"-4,890","-15,522","395,261","395,261","385,195","213,164","213,164","221,665","182,096","182,096","163,530",2.54,0.96,-15.90,0.13,-4.23,-13.90,-0.20,-0.20,-10.69,0.18,0.18,-4.36,117.06,117.06,135.55,-381,"-5,663","-16,625",N/A,N/A,N/A,"198,025","198,025","184,800",0.76,0.76,0.47,2.00,,,-740.62,-23.28,
LG전자,26,066570,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=066570,"66,600","623,062","160,612","147,278","24,361","1,018","10,904","1,799","-8,497","10,867","448,599","448,599","455,702","284,347","284,347","281,795","164,251","164,251","173,907",3.91,0.63,7.40,0.29,-5.29,7.38,0.22,0.22,3.23,0.40,0.40,1.50,173.12,173.12,162.04,173,"-4,841","5,671",416.75,416.75,17.94,"79,582","79,582","84,434",0.91,0.91,0.57,1.04,,,434.42,-15.53,
아모레퍼시픽,27,090430,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=090430,"176,000","55,801","13,337","11,309","4,278",459,609,"2,238",-579,670,"59,890","59,890","59,050","14,902","14,902","13,973","44,988","44,988","45,077",7.67,3.44,5.39,4.01,-4.34,5.92,5.36,5.36,4.18,3.94,3.94,2.86,33.12,33.12,31.00,"3,460",-716,"1,038",57.80,57.80,62.19,"65,539","65,539","65,735",3.05,3.05,2.56,0.50,,,28.71,-138.81,
삼성전기,28,009150,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009150,"128,500","80,408","16,867","22,245","7,340","1,661","1,646","5,280",-211,"1,332","86,742","86,742","94,845","32,442","32,442","39,725","54,301","54,301","55,120",9.13,9.85,7.40,6.57,-1.25,5.99,10.18,10.18,10.04,6.10,6.10,5.71,59.74,59.74,72.07,"6,627",-292,"1,702",18.86,18.86,14.68,"69,957","69,957","70,999",1.79,1.79,1.38,0.88,,,16.19,-367.96,
삼성생명,29,032830,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032830,"50,300","318,040","70,028","103,717","12,526",168,"3,746","10,517",184,"2,566","3,127,623","3,127,623","3,096,311","2,754,459","2,754,459","2,751,419","373,164","373,164","344,892",3.94,0.24,3.61,3.31,0.26,2.47,3.26,3.03,2.36,0.35,0.35,0.28,738.14,738.14,797.76,"4,887",3,"1,150",15.24,15.24,11.32,"198,619","198,619","183,022",0.38,0.38,0.23,3.56,,,48.69,"78,917.61",0.00
삼성화재,30,000810,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000810,"199,000","230,334","55,938","61,420","8,626",455,"2,407","6,456",401,"1,792","851,722","851,722","855,328","708,507","708,507","718,527","143,214","143,214","136,801",3.74,0.81,3.92,2.80,0.72,2.92,4.85,4.83,4.45,0.78,0.78,0.71,494.72,494.72,525.23,"12,716",786,"3,519",19.15,19.15,13.20,"336,392","336,392","321,285",0.72,0.72,0.48,3.49,,,56.20,909.00,0.00
하나금융지주,31,086790,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=086790,"30,900","386,501","63,768","206,132","32,587","7,493","8,790","24,256","3,586","6,741","4,215,061","4,215,061","4,396,894","3,925,214","3,925,214","4,106,107","289,848","289,848","290,787",8.43,11.75,4.26,6.28,5.62,3.27,8.77,8.77,9.11,0.60,0.60,0.61,"1,354.23","1,354.23","1,412.07","7,966","1,167","2,188",4.63,4.63,2.77,"96,461","96,461","96,843",0.38,0.38,0.24,5.69,,,25.78,133.11,0.00
넷마블,32,251270,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=251270,"97,800","21,787","5,550","5,329","2,027",511,204,"1,698",47,575,"58,061","58,061","67,589","11,577","11,577","18,301","46,483","46,483","49,288",9.30,9.21,3.84,7.79,0.85,10.78,3.54,3.54,3.72,3.02,3.02,2.96,24.91,24.91,37.13,"1,823",-14,628,50.68,50.68,46.84,"54,473","54,473","57,764",1.70,1.70,1.61,0.00,,,0.00,0.00,0.00
S-Oil,33,010950,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010950,"75,100","243,942","64,762","51,984","4,201",95,"-10,073",654,477,"-8,806","163,334","163,334","163,182","98,368","98,368","107,340","64,966","64,966","55,842",1.72,0.15,-19.38,0.27,0.74,-16.94,1.01,1.01,-15.29,0.41,0.41,-5.68,151.41,151.41,192.22,561,409,"-7,552",169.84,169.84,N/A,"55,803","55,803","47,965",1.71,1.71,1.19,0.21,,,35.73,24.63,
한국조선해양,34,009540,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009540,"102,000","151,826","43,419","39,446","2,902","1,699","1,217","2,131",-262,"1,649","250,554","250,554","260,932","121,291","121,291","130,193","129,263","129,263","130,739",1.91,3.91,3.08,1.40,-0.60,4.18,1.40,1.40,2.52,0.86,0.86,1.43,93.83,93.83,99.58,"2,318",-358,"1,915",54.56,54.56,18.74,"163,572","163,572","165,320",0.77,0.77,0.48,,,,0.00,0.00,
고려아연,35,010130,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010130,"378,000","66,948","17,243","17,326","8,053","1,769","2,043","6,386","1,415","1,419","78,406","78,406","78,338","10,022","10,022","10,709","68,384","68,384","67,629",12.03,10.26,11.79,9.54,8.21,8.19,9.76,9.76,9.63,8.48,8.48,8.37,14.66,14.66,15.83,"33,541","7,373","7,302",12.67,12.67,10.84,"379,956","379,956","375,789",1.12,1.12,0.95,3.29,,,39.09,177.84,
우리금융지주,36,316140,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=316140,"9,850","227,083","33,061","112,155","28,000","4,303","7,733","20,376","2,315","5,578","3,619,807","3,619,807","3,782,141","3,364,884","3,364,884","3,524,092","254,923","254,923","258,050",12.33,13.01,6.89,8.97,7.00,4.97,,,8.97,,,0.55,"1,319.96","1,319.96","1,365.66","2,776",286,717,4.18,4.18,2.95,"29,782","29,782","30,216",0.39,0.39,0.25,6.03,,,27.00,244.82,0.00
KT,37,030200,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=030200,"24,950","243,421","61,955","58,317","11,511","1,483","3,831","6,693",-68,"2,266","340,613","340,613","326,310","188,743","188,743","175,594","151,870","151,870","150,716",4.73,2.39,6.57,2.75,-0.11,3.89,4.61,4.61,4.46,2.02,2.02,1.93,124.28,124.28,116.51,"2,371",94,798,11.39,11.39,8.69,"55,728","55,728","55,326",0.48,0.48,0.36,4.07,,,43.57,"1,104.74",
롯데케미칼,38,011170,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=011170,"188,000","151,235","34,270","32,756","11,073","1,508",-860,"7,567",476,-902,"200,431","200,431","200,456","59,900","59,900","60,707","140,531","140,531","139,749",7.32,4.40,-2.63,5.00,1.39,-2.75,5.51,5.51,3.26,3.71,3.71,2.14,42.62,42.62,43.44,"20,860",957,"-2,261",10.74,10.74,15.74,"385,244","385,244","381,481",0.58,0.58,0.51,2.99,,,32.12,700.22,
기업은행,39,024110,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=024110,"9,480","169,382","33,279","73,040","22,279","3,969","6,613","16,143","2,464","5,005","3,181,110","3,181,110","3,268,859","2,953,344","2,953,344","3,038,203","227,766","227,766","230,656",13.15,11.93,9.05,9.53,7.41,6.85,7.36,7.36,6.95,0.53,0.53,0.50,"1,296.65","1,296.65","1,317.20","2,393",363,741,4.93,4.93,3.26,"33,567","33,567","33,998",0.35,0.35,0.22,5.68,,,23.83,156.30,0.00
LG유플러스,40,032640,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=032640,"13,100","123,820","29,178","32,866","6,862","1,871","2,198","4,388","1,033","1,488","179,410","179,410","180,599","105,914","105,914","107,403","73,496","73,496","73,196",5.54,6.41,6.69,3.54,3.54,4.53,6.30,6.30,6.51,2.75,2.75,2.80,144.11,144.11,146.73,"1,005",237,332,14.13,14.13,10.45,"16,218","16,218","16,147",0.88,0.88,0.67,2.82,,,39.80,169.05,
코웨이,41,021240,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=021240,"72,800","30,189","7,946","7,689","4,583",446,"1,389","3,322",193,"1,016","28,550","28,550","29,645","17,778","17,778","17,720","10,772","10,772","11,924",15.18,5.62,18.06,11.00,2.42,13.21,30.74,30.74,30.12,12.70,12.70,12.10,165.04,165.04,148.61,"4,511",267,"1,377",20.64,20.64,12.77,"14,931","14,931","16,462",6.24,6.24,3.51,2.58,,,52.05,0.00,
한진칼,42,180640,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=180640,"93,000","12,035","2,566","1,938",-39,-476,-340,"-2,592",-211,"-2,807","26,937","26,937","23,146","12,730","12,730","11,963","14,207","14,207","11,183",-0.32,-18.55,-17.54,-21.54,-8.24,-144.86,-17.56,-17.56,-41.11,-9.35,-9.35,-20.39,89.60,89.60,106.97,"-4,070",-63,"-4,417",N/A,N/A,N/A,"20,884","20,884","16,188",1.92,1.92,4.59,0.64,,,-6.27,-403.09,
한온시스템,43,018880,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018880,"10,200","71,542","19,611","16,748","4,838","1,711",597,"3,226","1,193",332,"70,824","70,824","74,912","47,449","47,449","51,311","23,375","23,375","23,600",6.76,8.72,3.57,4.51,6.08,1.98,14.98,14.98,13.78,5.19,5.19,4.18,202.99,202.99,217.42,597,218,64,18.69,18.69,15.96,"4,153","4,153","4,189",2.68,2.68,2.12,2.87,,,53.63,36.72,106.51
강원랜드,45,035250,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035250,"25,350","15,201","3,728","2,360","5,012",641,"-1,868","3,347",526,"-1,561","44,381","44,381","43,702","7,204","7,204","9,945","37,178","37,178","33,757",32.97,17.18,-79.14,22.02,14.11,-66.15,9.16,9.16,2.21,7.72,7.72,1.75,19.38,19.38,29.46,"1,564",246,-730,18.92,18.92,55.53,"18,337","18,337","16,650",1.61,1.61,1.19,3.04,,,54.52,346.75,
오리온,46,271560,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=271560,"130,500","20,233","5,564","5,398","3,276",981,970,"2,205",611,750,"24,523","24,523","25,184","7,848","7,848","7,782","16,675","16,675","17,402",16.19,17.64,17.97,10.90,10.98,13.89,14.24,14.24,15.03,9.18,9.18,9.92,47.06,47.06,44.72,"5,453","1,527","1,848",19.35,19.35,19.15,"41,050","41,050","42,788",2.57,2.57,2.69,0.57,,,11.00,39.28,
CJ제일제당,47,097950,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=097950,"305,500","223,525","59,613","58,309","8,969","2,698","2,759","1,910",935,"4,519","262,806","262,806","267,526","167,992","167,992","166,888","94,815","94,815","100,638",4.01,4.53,4.73,0.86,1.57,7.75,3.16,3.16,10.86,0.83,0.84,2.35,177.18,177.18,165.83,"9,312","5,708","27,086",27.12,27.12,6.37,"304,613","304,613","336,603",0.83,0.83,0.64,1.39,,,36.81,60.04,
아모레G,48,002790,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002790,"58,000","62,843","15,025","12,793","4,982",625,679,"2,824",-677,948,"82,814","82,814","80,460","18,012","18,012","17,046","64,801","64,801","63,414",7.93,4.16,5.31,4.49,-4.51,7.41,4.12,4.12,3.13,3.61,3.61,2.66,27.80,27.80,26.88,"1,498",-259,479,55.21,55.21,49.96,"37,530","37,530","36,586",2.20,2.20,1.51,0.36,,,22.98,-131.54,
미래에셋대우,49,006800,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006800,"6,910","154,310","24,873","90,840","7,280","1,526","1,387","6,642","1,390","1,071","1,331,498","1,331,498","1,193,079","1,239,562","1,239,562","1,100,930","91,936","91,936","92,149",4.72,6.14,1.53,4.30,5.59,1.18,7.56,7.56,6.83,0.52,0.53,0.49,"1,348.28","1,348.28","1,194.72",811,168,133,9.31,9.31,7.14,"13,050","13,050","13,165",0.58,0.58,0.40,3.44,,,27.63,133.18,0.00
현대중공업지주,50,267250,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267250,"287,000","266,303","67,851","57,163","6,666","1,006","-4,872","1,153","-1,026","-3,604","257,155","257,155","246,512","138,308","138,308","132,126","118,847","118,847","114,386",2.50,1.48,-8.52,0.43,-1.51,-6.30,2.20,2.20,-1.71,0.47,0.47,-1.42,116.38,116.38,115.51,"10,636","-1,595","-14,170",31.78,31.78,N/A,"546,583","546,583","521,122",0.62,0.62,0.38,5.47,,,156.15,"-1,041.01",0.00
LG디스플레이,51,034220,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034220,"12,650","234,756","64,217","47,242","-13,594","-4,219","-3,619","-28,721","-18,171","-1,989","355,746","355,746","358,856","230,863","230,863","233,225","124,883","124,883","125,631",-5.79,-6.57,-7.66,-12.23,-28.30,-4.21,-22.35,-22.35,-23.33,-8.36,-8.36,-8.44,184.86,184.86,185.64,"-7,908","-5,033",-556,N/A,N/A,N/A,"31,694","31,694","31,773",0.51,0.51,0.35,,,,0.00,0.00,
현대글로비스,52,086280,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=086280,"120,000","182,700","48,024","47,029","8,765","2,285","1,949","5,023","2,294","1,605","101,297","101,297","109,148","54,595","54,595","62,694","46,703","46,703","46,454",4.80,4.76,4.15,2.75,4.78,3.41,11.25,11.25,12.50,5.34,5.34,5.48,116.90,116.90,134.96,"13,395","6,117","4,280",10.68,10.68,6.10,"124,541","124,541","123,877",1.15,1.15,0.73,2.45,,,26.13,57.21,
삼성중공업,53,010140,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010140,"6,790","73,497","21,571","18,266","-6,166","-2,150",-478,"-13,154","-3,201","-2,270","136,001","136,001","148,118","83,512","83,512","95,379","52,489","52,489","52,739",-8.39,-9.96,-2.62,-17.90,-14.84,-12.43,-21.88,-21.88,-24.08,-9.44,-9.44,-9.77,159.10,159.10,180.85,"-2,080",-505,-357,N/A,N/A,N/A,"8,682","8,682","8,727",0.84,0.84,0.45,0.00,,,0.00,0.00,
